,STATION,TYPE,LINE,geometry
0,Kings Hill/SW Salmon St MAX Station,MAX,BR,POINT (7640556.587403696 683443.4918189583)
1,Interstate/Rose Quarter MAX Station,MAX,Y,POINT (7646625.355531119 686846.0030065271)
2,N Lombard TC MAX Station,MAX,Y,POINT (7643436.540206721 704046.5742355124)
3,N Killingsworth St MAX Station,MAX,Y,POINT (7643259.487098132 698780.3963506856)
4,Providence Park MAX Station,MAX,BR,POINT (7640899.400728437 683778.2814342979)
5,Providence Park MAX Station,MAX,BR,POINT (7640917.456149578 683940.3372548467)
6,Clinton/SE 12th Ave MAX Station,MAX,O,POINT (7650092.346805762 676759.8128599069)
7,SE 17th Ave & Rhine St MAX Station,MAX,O,POINT (7651349.041726656 674923.0998744724)
8,Beaverton Creek MAX Station,MAX,B,POINT (7603982.080991211 677182.0592751184)
9,Delta Park/Vanport MAX Station,MAX,Y,POINT (7642717.736596475 711004.8984455768)
10,PSU South/SW 5th and Jackson MAX Station,MAX,GO,POINT (7642535.27381093 679218.847856544)
11,PSU Urban Center/SW 6th and Montgomery MAX Station,MAX,GY,POINT (7642624.107926696 680082.1861509004)
12,SE Holgate Blvd MAX Station,MAX,G,POINT (7672282.612923847 671917.1980313964)
13,Lents/SE Foster Rd MAX Station,MAX,G,POINT (7672044.742131851 668028.8612880723)
14,Kenton/N Denver Ave MAX Station,MAX,Y,POINT (7642525.828071042 706530.2624581644)
15,SE Flavel St MAX Station,MAX,G,POINT (7671969.840876251 663444.7458522392)
16,SE Powell Blvd MAX Station,MAX,G,POINT (7672346.719074354 673616.3889398471)
17,SE Division St MAX Station,MAX,G,POINT (7672305.050220448 676400.8731497243)
18,SE Main St MAX Station,MAX,G,POINT (7672967.042167028 680350.0629671521)
19,Galleria/SW 10th Ave MAX Station,MAX,BR,POINT (7642994.062394978 683177.5595646307)
20,Pioneer Square North MAX Station,MAX,BR,POINT (7643625.211773625 682918.3189596081)
21,Parkrose/Sumner TC MAX Station,MAX,R,POINT (7673086.830715406 696670.2812256687)
22,Sunset TC MAX Station,MAX,BR,POINT (7617431.739545468 680377.7335371927)
23,Mt Hood Ave MAX Station,MAX,R,POINT (7672858.384516824 703280.9952501417)
24,Morrison/SW 3rd Ave MAX Station,MAX,BR,POINT (7644657.31771338 682493.4760323607)
25,Mall/SW 5th Ave MAX Station,MAX,BR,POINT (7644149.552574506 682702.4297207915)
26,E 102nd Ave MAX Station,MAX,B,POINT (7674622.813041373 683361.3609410962)
27,Portland International Airport MAX Station,MAX,R,POINT (7666239.782466326 707370.949549719)
28,Mall/SW 4th Ave MAX Station,MAX,BR,POINT (7644052.722024819 682474.5109276888)
29,E 122nd Ave MAX Station,MAX,B,POINT (7679881.09077141 683174.6436289775)
30,E 162nd Ave MAX Station,MAX,B,POINT (7690463.628704767 682793.3509450245)
31,Ruby Junction/E 197th Ave MAX Station,MAX,B,POINT (7699656.33618149 680363.8664917168)
32,Rockwood/E 188th Ave MAX Station,MAX,B,POINT (7697027.319502592 682035.7947570933)
33,Convention Center MAX Station,MAX,BGR,POINT (7648067.778205198 686772.2975360621)
34,NE 7th Ave MAX Station,MAX,BGR,POINT (7649129.358537631 686745.1845326863)
35,Gresham Central TC MAX Station,MAX,B,POINT (7708089.661140761 675222.0244735774)
36,Gresham City Hall MAX Station,MAX,B,POINT (7705789.02458382 676460.5068517121)
37,Pioneer Square South MAX Station,MAX,BR,POINT (7643541.799088798 682684.9316097973)
38,NE 60th Ave MAX Station,MAX,BGR,POINT (7663215.194683686 685838.797662173)
39,Rose Quarter TC MAX Station,MAX,BGR,POINT (7647205.337541302 686821.7552446037)
40,Oak/ SW 1st Ave MAX Station,MAX,BR,POINT (7645374.644368355 683194.5839517394)
41,Hollywood/NE 42nd Ave TC MAX Station,MAX,BGR,POINT (7658646.756643186 687500.9374106559)
42,Lloyd Center/NE 11th Ave MAX Station,MAX,BGR,POINT (7650161.487949571 686714.3276066236)
43,E 148th Ave MAX Station,MAX,B,POINT (7686821.522698907 682928.4993912126)
44,NE 82nd Ave MAX Station,MAX,BGR,POINT (7669646.511249186 687390.7117590063)
45,E 181st Ave MAX Station,MAX,B,POINT (7695412.853029867 682612.8895075782)
46,E 172nd Ave MAX Station,MAX,B,POINT (7693109.193563377 682697.6256925378)
47,Gateway/NE 99th Ave TC MAX Station,MAX,BGR,POINT (7673319.498855165 686319.8216684136)
48,Goose Hollow/SW Jefferson St MAX Station,MAX,BR,POINT (7639847.176434212 682625.7636011522)
49,Washington Park MAX Station,MAX,BR,POINT (7633859.496814754 680064.6250121347)
50,Tuality Hospital/SE 8th Ave MAX Station,MAX,B,POINT (7566982.327196426 685895.5567811275)
51,Yamhill District MAX Station,MAX,BR,POINT (7644826.933636267 682139.4447817924)
52,Library/SW 9th Ave MAX Station,MAX,BR,POINT (7642905.603060598 682945.9609408109)
53,Hillsboro Central/SE 3rd TC MAX Station,MAX,B,POINT (7565208.453493809 685978.7057293762)
54,Hawthorn Farm MAX Station,MAX,B,POINT (7579277.720127824 688685.8534784816)
55,Merlo Rd/SW 158th Ave MAX Station,MAX,B,POINT (7601705.659600791 679001.0874102251)
56,Skidmore Fountain MAX Station,MAX,BR,POINT (7645661.790327803 684295.0738746376)
57,Washington/SE 12th Ave MAX Station,MAX,B,POINT (7569239.864909489 685781.3513204345)
58,Hatfield Government Center MAX Station,MAX,B,POINT (7563749.287237408 686319.0248412944)
59,Fairplex/Hillsboro Airport MAX Station,MAX,B,POINT (7575299.12862491 687715.4643282329)
60,Elmonica/SW 170th Ave MAX Station,MAX,B,POINT (7599372.195474631 680791.3315237018)
61,Old Town/Chinatown MAX Station,MAX,BR,POINT (7645659.357216453 684955.858980578)
62,Willow Creek/SW 185th Ave TC MAX Station,MAX,B,POINT (7594646.336724209 683588.3167888871)
63,Beaverton Central MAX Station,MAX,B,POINT (7610537.085602877 673360.0389539738)
64,Orenco/NW 231st Ave MAX Station,MAX,B,POINT (7583099.651616368 688684.9134119368)
65,Quatama/NW 205th Ave MAX Station,MAX,B,POINT (7589947.607388941 685893.9920144315)
66,Millikan Way MAX Station,MAX,B,POINT (7606888.201879092 675212.3350729301)
67,Cleveland Ave MAX Station,MAX,B,POINT (7710256.611681152 674872.0430766612)
68,PSU South/SW 6th and College MAX Station,MAX,GY,POINT (7642375.278526867 679461.6963985111)
69,Milwaukie/Main St MAX Station,MAX,O,POINT (7652913.655081856 654241.729939159)
70,Cascades MAX Station,MAX,R,POINT (7675150.838825678 701437.746605963)
71,SE Bybee Blvd MAX Station,MAX,O,POINT (7653220.778232428 666440.5393413893)
72,SE Tacoma St/Johnson Creek MAX Station,MAX,O,POINT (7653724.887766552 662071.5566967147)
73,SE 17th Ave & Holgate Blvd MAX Station,MAX,O,POINT (7651197.099731671 672388.8976585481)
74,Union Station/NW 6th and Hoyt MAX Station,MAX,GY,POINT (7644359.143516407 685747.1498131893)
75,SW 6th and Pine MAX Station,MAX,GY,POINT (7644216.439675394 683965.9675080824)
76,NW 5th and Couch MAX Station,MAX,GO,POINT (7644610.250437111 684706.4322362113)
77,Beaverton TC MAX Station,MAX,BR,POINT (7611982.562985433 673672.2545960204)
78,Pioneer Place/SW 5th MAX Station,MAX,GO,POINT (7643961.550781211 682654.7764493623)
79,South Waterfront/SW Moody Ave MAX Station,MAX,O,POINT (7645459.568173526 676854.6128185806)
80,Lincoln St/SW 3rd Ave MAX Station,MAX,O,POINT (7643160.10078807 678818.4270957818)
81,Rosa Parks MAX Station,MAX,Y,POINT (7643351.842051801 701416.3002670679)
82,Expo Center MAX Station,MAX,Y,POINT (7642826.29871673 714400.3237098494)
83,Overlook Park MAX Station,MAX,Y,POINT (7643436.176383437 693676.4316597441)
84,Albina/Mississippi MAX Station,MAX,Y,POINT (7644752.19614894 690315.3412836986)
85,N Prescott St MAX Station,MAX,Y,POINT (7643168.39660548 696056.3371220562)
86,OMSI/SE Water Ave MAX Station,MAX,O,POINT (7647702.568001399 678196.8928373044)
87,SE Park Ave MAX Station,MAX,O,POINT (7654062.906539449 650354.6073805483)
88,NW 6th and Davis MAX Station,MAX,GY,POINT (7644357.974358545 684700.4840389203)
89,SW 5th and Oak MAX Station,MAX,GO,POINT (7644460.291930939 683869.1475415013)
90,PSU Urban Center/SW 5th and Mill MAX Station,MAX,GO,POINT (7642954.151937299 680216.5713223654)
91,SW 6th and Madison St MAX Station,MAX,GY,POINT (7643227.007495924 681552.1296179851)
92,SE Fuller Rd MAX Station,MAX,G,POINT (7670045.883936462 658223.9358639527)
93,Clackamas Town Center TC MAX Station,MAX,G,POINT (7671381.519445856 651743.1604426404)
94,Civic Drive MAX Station,MAX,B,POINT (7704411.491046803 677323.019591223)
95,Union Station/NW 5th and Glisan MAX Station,MAX,GO,POINT (7644611.04773992 685738.5018751913)
96,Pioneer Courthouse/SW 6th MAX Station,MAX,GY,POINT (7643716.700441976 682751.4358013966)
97,City Hall/SW 5th and Jefferson MAX Station,MAX,GO,POINT (7643466.509732578 681450.909928341)
